OPEN 6.3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thr Dec 16 2021 09:50:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-3719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,"0,159999996423721",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/2x3 LED.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,long._I_R2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
16,10:29:36,"2493,50002808496",0,"6,71855049483323","0,129056999010265","299,195202316409","2,63274569188213","1,83942684694717","29,8381538391113","2,70000004768372","2,14456530656503",1,"4,28913061313007","30,9183578491211","29,8381538391113","31,7934761047363","400,466644287109","396,277709960938","24,8348274230957","26,2184219360352","50,2379760742188","53,0368270874023","500,294128417969","199,948654174805","0,306851208209991","90,8359985351563","3,01815915107727","0,305874705314636",1,"-0,219565242528915","2,73739147186279",1,0,"0,159999996423721",111115,"1,85294118363873","0,00263274569188212","302,988153839111","304,068357849121","31,9917839528966","-0,581717786710196","4,22100338352297","46,4683985599533","20,2499766239181","30,3782558441162","4,35389633778348","0,1252871932764","2,3815765365758","1,97231980120768","0,07863468236312","27,1776949593391","0,755013958130276","56,0994821725314","394,1630522398","0,00956221547322622"
17,10:29:36,"2494,00002807379",0,"6,59939120861147","0,129342094650082","300,900232723339","2,63611986756663","1,83785750495033","29,8318653106689","2,70000004768372","2,14456530656503",1,"4,28913061313007","30,9189548492432","29,8318653106689","31,7924976348877","400,431396484375","396,305908203125","24,8335132598877","26,2189140319824","50,2335777282715","53,0359878540039","500,281951904297","199,960968017578","0,380011677742004","90,8359375","3,01815915107727","0,305874705314636",1,"-0,219565242528915","2,73739147186279",1,0,"0,159999996423721",111115,"1,85289608544074","0,00263611986756663","302,981865310669","304,068954849243","31,9937541676964","-0,582246856748843","4,21947714127736","46,4516275981338","20,2327135661514","30,3754100799561","4,35318669018448","0,125555859325144","2,38161963632703","1,97156705385745","0,0788040192655758","27,3325547333927","0,759262545662362","56,1242726852639","394,228755760075","0,00939520586302076"
18,10:29:37,"2494,50002806261",0,"6,46719683045628","0,129400376518259","302,596389525319","2,63707398051186","1,83771715464563","29,8310317993164","2,70000004768372","2,14456530656503",1,"4,28913061313007","30,9192008972168","29,8310317993164","31,7917499542236","400,371002197266","396,316162109375","24,8322277069092","26,2182941436768","50,2301483154297","53,0338592529297","500,222991943359","200,0166015625","0,45863339304924","90,8357238769531","3,01815915107727","0,305874705314636",1,"-0,219565242528915","2,73739147186279",1,0,"0,159999996423721",111115,"1,8526777152189","0,00263707398051186","302,981031799316","304,069200897217","32,0026555346849","-0,582412645600014","4,21927488200539","46,4495101918367","20,2312160481599","30,3751163482666","4,35311344811444","0,125610778237225","2,38155772735976","1,97155572075468","0,0788386343566287","27,4865620850848","0,763522708523325","56,1261612321439","394,280617727866","0,00920610640507642"
Remark=,"""10:29:46 Lamp: ParIn ->  100 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""10:32:34 Flow: Fixed -> 500 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,10:32:49,"2687,50002799556",0,"3,75214374718226","0,110166747668569","329,386760642436","2,32703768084452","1,8962315531044","29,9947910308838","2,70000004768372","2,14456530656503",1,"4,28913061313007","30,9843845367432","29,9947910308838","31,8042659759522","400,159606933594","397,634887695313","24,7903461456299","26,0137214660645","49,9586791992188","52,4240760803223","500,219146728516","100,178184509277","0,0240236613899469","90,8345108032227","2,9409511089325","0,307997018098831",1,"-0,219565242528915","2,73739147186279",1,0,"0,159999996423721",111115,"1,8526634736827","0,00232703768084452","303,144791030884","304,134384536743","16,0285091632193","-0,610755969936153","4,25917521664566","46,8893945592158","20,8756730931514","30,4895877838135","4,38173838803696","0,107407963413607","2,36294366354126","2,0187947244957","0,067372502821296","29,9196852680139","0,828364841303434","54,951714974893","396,453903828048","0,00520077445950475"
20,10:32:50,"2688,00002798438",0,"3,74634366271871","0,110364182118543","329,576777008666","2,33258668515969","1,89742198390495","30,0002288818359","2,70000004768372","2,14456530656503",1,"4,28913061313007","30,9853973388672","30,0002288818359","31,8054046630859","400,17578125","397,652984619141","24,7889785766602","26,015266418457","49,9530334472656","52,4241600036621","500,220275878906","100,256408691406","0,0120118912309408","90,8345031738281","2,9409511089325","0,307997018098831",1,"-0,219565242528915","2,73739147186279",1,0,"0,159999996423721",111115,"1,85266765572111","0,00233258668515969","303,150228881836","304,135397338867","16,0410250320801","-0,613085921975742","4,26050578396027","46,9040467564074","20,8887803379504","30,4928131103516","4,38254728898589","0,107595624986063","2,36308380005532","2,01946348893057","0,0674906410551025","29,9369427972138","0,828804987656071","54,9391552664097","396,473826323241","0,00519128735624606"
21,10:32:50,"2688,50002797321",0,"3,91206848736735","0,110077685700808","327,019713613752","2,32848498829963","1,89886104273871","30,0056972503662","2,70000004768372","2,14456530656503",1,"4,28913061313007","30,9869918823242","30,0056972503662","31,8062362670898","400,2763671875","397,664886474609","24,7902050018311","26,01438331604","49,9505271911621","52,417163848877","500,201599121094","100,248970031738","0,0218399539589882","90,8337173461914","2,9409511089325","0,307997018098831",1,"-0,219565242528915","2,73739147186279",1,0,"0,159999996423721",111115,"1,85259848254524","0,00232848498829963","303,155697250366","304,136991882324","16,0398348465599","-0,611991548484452","4,26184418380337","46,9191871511804","20,9048038351403","30,4963445663452","4,38343311537517","0,107323304442601","2,36298314106466","2,02044997431051","0,0673192081080065","29,704416233024","0,82234998546856","54,9158721683027","396,433566439314","0,0054191842253801"
Remark=,"""10:32:58 Lamp: ParIn ->  50 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""10:36:07 Flow: Fixed -> 500 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,10:36:21,"2898,50002804026",0,"2,30628111983366","0,094171326110243","345,723697408814","2,04656499917352","1,94326477022025","30,1791915893555","2,70000004768372","2,14456530656503",1,"4,28913061313007","30,9675445556641","30,1791915893555","31,6359806060791","400,518249511719","398,832916259766","24,9203433990479","25,9962310791016","50,2663192749023","52,4364738464356","500,245300292969","49,9844627380371","0,0851749554276466","90,829833984375","3,1100001335144","0,314162224531174",1,"-0,219565242528915","2,73739147186279",1,0,"0,159999996423721",111115,"1,85276033873451","0,00204656499917352","303,329191589355","304,117544555664","7,99751385932757","-0,594957797117965","4,30449812335449","47,390795893065","21,3945648139634","30,5733680725098","4,40279244862832","0,0921481393016932","2,36123335313425","2,04155909549408","0,057771003583445","31,4020260401069","0,866838426103324","54,1422382233414","398,107016353094","0,00313652401667998"
23,10:36:21,"2899,00002802908",0,"2,39513613932532","0,094205836321218","344,24936584819","2,04569565902428","1,94174705781656","30,1725082397461","2,70000004768372","2,14456530656503",1,"4,28913061313007","30,967248916626","30,1725082397461","31,6367092132568","400,57861328125","398,845520019531","24,9195613861084","25,9949779510498","50,2651977539063","52,4344177246094","500,252502441406","49,9937171936035","0,115751437842846","90,8291244506836","3,1100001335144","0,314162224531174",1,"-0,219565242528915","2,73739147186279",1,0,"0,159999996423721",111115,"1,85278701335789","0,00204569565902428","303,322508239746","304,117248916626","7,9989945721851","-0,594007850480694","4,30284814522524","47,373000359169","21,3780224081192","30,569878578186","4,4019137798265","0,0921811823391831","2,36110108740868","2,04081269241782","0,0577917836585081","31,2678684926942","0,863114535751417","54,1612968101237","398,091653075449","0,0032586385155397"
24,10:36:22,"2899,50002801791",0,"2,39532841495101","0,094119768767466","344,246013616421","2,04384634936047","1,94172433618278","30,1725654602051","2,70000004768372","2,14456530656503",1,"4,28913061313007","30,9677505493164","30,1725654602051","31,6388835906982","400,615997314453","398,883209228516","24,9210071563721","25,995418548584","50,2666015625","52,4337310791016","500,267639160156","49,9796257019043","0,133225232362747","90,8290023803711","3,1100001335144","0,314162224531174",1,"-0,219565242528915","2,73739147186279",1,0,"0,159999996423721",111115,"1,85284307527819","0,00204384634936047","303,322565460205","304,117750549316","7,99673993356362","-0,593315077677396","4,30286226941086","47,3732195295006","21,3778009809166","30,5701580047607","4,40198413494207","0,0920987729079946","2,36113793322808","2,040846201714","0,0577399581771358","31,2675219901991","0,863024578753842","54,1610679102857","398,129281765853","0,00325857832848117"
Remark=,"""10:36:31 Lamp: ParIn ->  20 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""10:39:37 Flow: Fixed -> 500 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
